position,orientation,success
"[0.053064749873774526, -0.013860362788781841, 0.201227538025579]","(0.9162932951636945, -0.4003629763257494, -0.008314058926093243, -0.0068527986851675314)",False
"[0.015454589371472056, 0.021431698156942597, 0.1790900663192309]","(-0.7366203790301632, -0.670998782979305, -0.0844777692299466, -0.0038153562981694256)",True
"[0.01815054230481582, 0.013577467640626928, 0.17736069995214251]","(0.5050854567133736, -0.862597160519607, -0.017779836178299067, -0.022331536123319964)",False
"[0.013028528126108949, -0.011415420872949073, 0.19456990271885868]","(0.929964852387803, 0.3633684674461185, -0.053803693375124514, 0.015293553164208757)",True
"[-0.001611729978533096, -0.007941033556387653, 0.16454760216710004]","(-0.8499412112922671, 0.5240360025948024, -0.01793188878108666, 0.051620274081380174)",False
"[-0.008430420758265795, 0.037592524642939676, 0.17244903767619732]","(0.012690311503313446, -0.9995225479320973, 0.020208855955476016, -0.0196273867401686)",False
"[0.011429883343404518, -0.023253300037176176, 0.16419900189726744]","(-0.42262440924054084, 0.9061576558247877, -0.016255511265391594, -0.0016339699233282742)",True
"[0.028799555725956313, 0.020055927557622928, 0.19033806835214376]","(0.6180408307817019, -0.7836367101175927, -0.005636668658737865, 0.06250812754491535)",True
"[0.016257810136850924, 0.01832389558099965, 0.21005562917060067]","(0.2540371974588644, -0.9667910591517087, -0.021339507053080995, 0.018021534071621596)",True
"[0.011118243168805827, 0.0005563568093067899, 0.20601379688897314]","(0.20028053256644218, 0.9777371173550091, 0.010884987278173547, 0.0616389055157004)",True
"[-0.02532168356752877, -0.011454506180711149, 0.1975868223482246]","(-0.5710170963356744, -0.8203151481404817, 0.01259636998436398, 0.029391578502213862)",True
"[0.030244959178385704, 0.004462115335562999, 0.22051830915090673]","(-0.11325983035148886, 0.9935111968670297, 0.0044481110858984865, 0.00937693107373456)",True
"[0.02068042686047658, -0.027747549587792245, 0.182195933868272]","(0.9355367849770672, 0.347529003544041, -0.008006417117334897, -0.06269300547431167)",True
"[0.017312810004713304, -0.0280277189982872, 0.19843202230597523]","(0.9121285488828563, 0.3986508983647321, -0.0276939736523363, -0.09127987384517183)",True
"[0.017114474129014467, 0.0025957346558295818, 0.21459484761471892]","(0.16490805353552496, -0.9845601070317787, 0.05636455082310341, 0.016424583136471355)",True
"[0.028120021665079122, 0.018310985684907567, 0.20835560938334152]","(0.8347623948434246, -0.5483393295942202, 0.0499478229961255, -0.0009688928628635261)",True
"[-0.00016268552897193012, -0.019585335155673064, 0.22899920909986599]","(-0.987480746808463, -0.06256073398147984, -0.13103069961355301, -0.061635095563174494)",False
"[0.007148471002492778, -0.015824970743264652, 0.18868386330405537]","(-0.8812990809721547, -0.4677435027627661, -0.03466355814012897, -0.05767480592008626)",True
"[0.002949864534771556, -0.022915967663683277, 0.16633559089471614]","(0.21222122531874504, 0.973414038412174, 0.07625032647664372, -0.04016402692109583)",True
"[0.030388570873521738, -0.021925665767569723, 0.19892009973233693]","(0.8100049271223724, -0.5859758125367035, 0.0022536186318674093, 0.022787855592227946)",True
"[0.008115429376874842, -0.01233703938443164, 0.2125014929926825]","(0.5093804175597915, 0.8430645864003937, 0.03394504998534747, 0.1691786834847644)",False
"[0.019983671028020886, 0.03479561286420417, 0.22369580254639507]","(-0.1670030695174907, 0.9810107651937562, -0.003557886366972427, 0.09856568769250595)",False
"[0.0009689333640704163, -0.027752589327518746, 0.19195712512066895]","(0.6698766992390867, -0.7304226938884419, -0.09838826841737243, -0.08982006850993213)",False
"[0.027935211561914267, 0.023119462373604783, 0.18955405357300303]","(-0.4276138136012041, 0.898571448667161, -0.09562251491449848, 0.02391887746238956)",False
"[0.019000895636084918, 0.03501276453138208, 0.21641805080908147]","(0.9397814735789373, 0.3296523395040165, -0.03361458038175419, -0.08372679955121108)",False
"[-0.014880251824255222, -0.04236254001615808, 0.20296457743157226]","(0.6294990509826132, 0.7741467801198486, -0.06458073073505298, -0.016032369125833747)",True
"[-0.009096652176185011, -0.022294788367227918, 0.19368383707315967]","(0.9985310862411345, -0.0392943790007116, -0.01567770062745216, -0.03385012986805912)",True
"[0.007945857233000772, 0.017745528281146877, 0.21611583023538677]","(-0.10845341622240927, 0.9926467077384854, 0.038827495374171635, -0.03718596144519842)",True
"[0.06491926357482901, 0.0031876632136203626, 0.23903603517570066]","(0.05954695769636763, -0.9981942521075537, 0.006249802616079314, -0.0048306165039936465)",False
"[0.017094083424573005, -0.029047055598021797, 0.22211048785823415]","(-0.18507411865820717, -0.9825690186673397, 0.01501046064298457, -0.008965502176355852)",True
"[0.012948404665624962, 0.015406720721634364, 0.20578081355137648]","(0.6158966091242211, -0.7851322414536025, 0.06364671239057715, 0.013704973593548928)",True
"[-0.006730130908612099, -0.010298653509951407, 0.2196324443113679]","(0.6866535629675788, 0.7269091343764109, 0.0013982907735304272, -0.01039421026239963)",True
"[0.03821156382397649, -0.010151026638009849, 0.22319434317820175]","(0.770006962338885, 0.6379851781974841, -0.004622607507435688, 0.006543840600115055)",True
"[0.006209253877810886, -0.023716772176542916, 0.1790981181178569]","(-0.9509204708279997, 0.29582981460415453, -0.05119385438081648, 0.07492775337058206)",True
