position,orientation,success
"[np.float64(0.008690401484598763), np.float64(0.0024220153316743902), 0.17916016709850896]","(0.685524330909943, -0.7250478779611788, -0.017265336019349653, 0.06374852599555339)",False
"[np.float64(0.00462087791910842), np.float64(0.01335046094981528), 0.2068109588674081]","(0.6997171721512582, -0.7054690562728919, -0.11067069275528084, 0.021477602360321278)",True
"[np.float64(-0.023373945313368224), np.float64(0.011593905008593294), 0.23384293752723798]","(0.6863941230515033, -0.7270035569769003, -0.01745993981236154, -0.004907798390448823)",True
"[np.float64(-0.016254434154220777), np.float64(0.016369034744752226), 0.14414029060019448]","(0.1861093854490149, 0.9787903671999244, 0.06205566237505004, 0.05900685122611665)",True
"[np.float64(-0.02444201377266217), np.float64(-0.021130705178112347), 0.2081267584855712]","(0.5755389506359725, -0.8145861387151188, 0.014064099978073896, 0.07075690783127758)",False
"[np.float64(-0.0029341971419447744), np.float64(-0.03752881090312114), 0.207238173305621]","(0.934309637809368, 0.3401301163220385, 0.10626228116332098, 0.009237546711734858)",False
"[np.float64(0.010620482590480962), np.float64(-0.018791111304301573), 0.2181043759096496]","(0.8479529636679546, 0.5253816207666949, 0.014075881053380791, 0.06893325423817075)",False
"[np.float64(0.012848884282079327), np.float64(0.010723253633978228), 0.20788024852694043]","(0.9078777325340268, 0.41073965824934305, -0.05911942817907922, -0.05963094097753093)",False
"[np.float64(0.026985284741278842), np.float64(0.0032513320541940993), 0.21032339982186304]","(0.4216729976800159, 0.9051501285473692, -0.037973248941217334, -0.03812033818158974)",True
"[np.float64(0.011996967076575236), np.float64(0.01314846484104292), 0.2395310118368671]","(0.16868675938911346, 0.984633978500226, 0.018517442017499962, -0.04120448920620711)",False
"[np.float64(-0.011364100047038542), np.float64(-0.016193090826668196), 0.20985017485175397]","(0.9936083291378702, 0.08559650080417841, -0.008158304058684009, 0.07313801605742558)",False
"[np.float64(-0.006550617957894747), np.float64(0.00807114725735387), 0.22063755123781667]","(0.9661993523881436, -0.23943083999337425, -0.08955038460910325, -0.03335285476778342)",True
"[np.float64(0.03566240584091641), np.float64(-0.009182011703343887), 0.21097011705245242]","(0.20131423418552635, -0.97784709376048, 0.02685038040587171, 0.050662583930730865)",False
"[np.float64(0.016901549733838027), np.float64(-0.0353967946182366), 0.18762195879424978]","(0.3709846748386304, 0.9260365767747148, 0.05202114665903233, 0.0460481249403598)",False
"[np.float64(0.003377562630162126), np.float64(-0.005879119563918597), 0.22675416919427724]","(0.7996297694515417, -0.5988919401806986, -0.0048083861968302, 0.0435609368087419)",False
"[np.float64(-0.00536895580643785), np.float64(-0.001262884365280042), 0.20169513173714484]","(-0.830851604869617, 0.5473321862718216, 0.09749986465941077, -0.02463462903895118)",False
"[np.float64(0.0036636558156834032), np.float64(0.01182229893393741), 0.2054360238127808]","(-0.09299433585931847, -0.9948265341358595, -0.004752140880560891, -0.04061573136568138)",True
"[np.float64(0.0016509136166294011), np.float64(-0.014916136944733028), 0.1973951781519336]","(0.9868969771280475, 0.15974257512244017, -0.0016872557627923212, -0.02266758471396169)",True
"[np.float64(0.033289402065711585), np.float64(0.03281444001805266), 0.182547836257876]","(0.2059748983883808, 0.9757142062176517, 0.02444208039219093, -0.07041813491605424)",False
"[np.float64(0.018200985524654326), np.float64(0.012113893102281528), 0.18485054119426178]","(0.9480567775954194, -0.31654217253728156, -0.008762572801722787, 0.030209547806314078)",True
"[np.float64(0.037307078771064026), np.float64(-0.00027677073559811906), 0.19099083994773558]","(0.782683856614306, 0.6204877538375243, 0.046315789125698635, -0.01599298629663613)",False
"[np.float64(0.007781793198291237), np.float64(-0.006412451107701841), 0.2352819691064183]","(0.9262287670421784, 0.37494518940249516, 0.02010775927376799, -0.03334747463364175)",False
"[np.float64(-0.031066639228543243), np.float64(0.0007196036457841742), 0.20196512904473687]","(0.2774835953593482, 0.9588912395580856, 0.05749140884551714, -0.015006095900168012)",True
"[np.float64(-0.019861490022587996), np.float64(-0.013428697444270433), 0.18637044829353142]","(-0.44893570124780235, 0.8860146567449853, -0.11497413155683629, 0.014687179816466833)",False
"[np.float64(0.040395678071583785), np.float64(0.01586553264915558), 0.20884971915035613]","(0.6972653584592672, -0.7165146679550718, 0.015382257862674862, -0.013825217573295327)",False
"[np.float64(0.027081070737546432), np.float64(-0.0017405521266248283), 0.19295976636094064]","(0.6899134840217319, 0.7203634782668572, -0.052663594969252284, 0.04819117667359049)",False
"[np.float64(0.002593729789096998), np.float64(-0.04168064755623892), 0.22580081912805713]","(-0.8708213153719363, -0.4844922002661315, -0.06212668724345593, -0.05547809754603548)",False
